,PER,LOC,ORG,DAT
52, حسن انوری بهاءالدین خرمشاهی, شیراز آرامگاه سعدی, مجلس ششم, روزگار
53, شاهنامه, آرامگاه سعدی, نهضت ملی شدن نفت, اواخر سده ۶ قمری
54, داریوش رحمانیان, مراکش ایران, ملی شدن نفت, در قرن ششم
55, خواجه عبدالله انصاری, شیراز سعدیه, مجله خواندنیها نشر نگاه, در سده هفتم هجری
56, سنایی انوری, چین, شرکت نفت ایران و انگلیس, از سال ۶۵۵
57, حافظ, هرات, ملل متحد سازمان بین‌المللی, در سال ۶۰۶ هجری قمری ۱۲۱۰ میلادی
58, علی دشتی, شهر هرات, هیئت دولت, سال سال ۵۸۵ هجری قمری
59, غلام‌حسین یوسفی محمدعلی فروغی, مصر, دولت بریتانیا, دو تاریخ
60, محمد پیامبر اسلام, عبدالرحمن بن ملجم, دولت ایران شورای امنیت سازمان ملل, در سال ۶۵۶ پنجاه سال سال ۶۰۶ هجری
61, امید مجد, انگلستان, شورای امنیت دولت ایران شورای امنیت, در سال ۶۵۵ هفتاد سال سال ۵۸۵ هجری
62, ضیاء موحد محمد غزالی, لینکلن‌شر, دولت ایران, در ایام
63, علی دشتی مهدی محقق, کالج ترینیتی, وزارت جنگ, در سال ۶۲۰ هجری قمری در روزگار
64, خلیل خطیب رهبر, لندن, جبهه ملی ایران حزب توده حزب پان ایرانیست, از سال ۶۲۳ قمری
65, سعدالدین نزاری قهستانی, پارلمان بریتانیا, حزب توده, سال ۴۸۴ هجری
66, همام تبریزی, صحن مجلس فرهنگستان علوم فرانسه, وزارت جنگ وزارت دفاع ملی, شب
67, غزلیات سعدی غزلیات سعدی, دانشگاه سنت اندروز, جبهه ملی ایران ملی شدن نفت, ایام سی سال
68, استاد سخن, ناپل, وزارت امور خارجه, در سال ۶۵۵ قمری
69, استاد سخن خواجوی کرمانی عبدالعلی دستغیب, یونان, دانشگاه هاروارد, ایام
70, ابراهیم گلستان, کره جنوبی چین, حزب توده جبهه ملی جبهه ملی حزب توده, تا ۶۹۵ هجری قمری
71, محمدعلی جمال‌زاده, ترکیه, جبهه ملی حزب توده مجلس موسسان, در ۲۷ ذیحجه سال ۶۹۰ هجری
72, ریچارد فرانسیس برتون, افغانستان ایران اتیوپی نپال, بانک جهانی, در سال ۶۱۰ هجری
73, ژان دو لا فونتن, نیم‌کره شمالی نیم‌کره جنوبی, دولت ملی, سال
74, دنی دیدرو, توس مشهد, دیوان عالی, در سال ۶۳۰ هجری
75, ویکتور هوگو آندره ژید, شهر تهران, نهضت ملی نفت, مهمی
76, لازار کارنو, تبریز تهران, روزنامه اطلاعات, در سده ۷ قمری
77, نیکولا سعدی کارنو ماری فرانسوا سعدی کارنو, مجلس شورای ملی, دانشگاه هاروارد ملی شدن نفت, سده ۱۳ سده ۱۴
78, یوهان ولفگانگ فون گوته, مجلس شورای ملی روسیه, جبهه ملی دوم, صبح
79, رالف والدو امرسون, مدرسه سیاسی, دانشگاه هاروارد جبهه ملی دوم جبهه ملی جبهه ملی دوم, در عصر
80, ویلیام شکسپیر میگل د سروانتس, نوشاتل, جبهه ملی دوم حزب نهضت آزادی ایران نهضت آزادی جبهه ملی جبهه ملی نهضت آزادی جبهه ملی نهضت آزادی, در سال ۷۲۶ در سال ۷۳۴ هجری
81, الکساندر پوشکین, مدرسه علوم سیاسی, انجمن‌های ایالتی و ولایتی, در سال ۱۳۱۰
82, ایوان بونین, وزارت امور اقتصادی و دارایی ایران, پاریس, در سال ۱۳۱۶
83, امیرخسرو دهلوی امیرحسن, بوشهر شیراز استان فارس, ترکیه عثمانی دولت ایران, در ۶۵۵ هجری
84, سیف فرغانی, وزارت دارائی, شرکت سهامی, در ده فصل
85, بنی‌آدم اعضای یک پیکرند, لاوان, دوره مشروطه, در سال ۶۵۶ هجری قمری
86, شعر بنی‌آدم, بریتانیا آفریقای جنوبی, مجله علمی, در هشت فصل
87, جلال‌الدین تاج, شمال ایران, مجله آینده, در سال ۱۸۲۴ میلادی
88, محمدرضا شجریان, مجلس شورای ملی مجلس سنا, انتشارات نیلوفر, سی سال
89, غلامحسین بنان محمود محمودی خوانساری عبدالوهاب شهیدی اکبر گلپایگانی, آبادان, جنرال الکتریک, عصر
90, داریوش مودبیان, نیویورک, خانواده زبانی, در روزگار
91, پری صابری, دادگاه لاهه, خوشه‌های کهکشانی, ایام در شش روز شب
92, داریوش ارجمند, بلژیک, خورشید, ۵۰۵ هجری
93, فرهاد حسن‌زاده مهدی آذر یزدی, دانشکده حقوق دانشگاه تهران, جایزه گرمی, ۵۷۵ هجری
94, میرزا فتحعلی آخوندزاده عبدالرحیم طالبوف میرزا آقاخان کرمانی, وزارت کشور, دانشگاه پرینستون, ۳۵۴ هجری در قرن چهارم هجری
95, احمد کسروی, وزارت کشاورزی, موسسه مطالعات پیشرفته, در سال ۱۳۳۷
96, علی شریعتی, مجلس سنا, حکومت عثمانی, طی شش قرن و نیم
97, میرزا آقاخان کرمانی, وزارت راه, نظام ریاستی, ۷۱۴ هجری
98, اسماعیل خویی, وزیر کشور, رود زرافشان, ۷۲۵ هجری
99, احمد شاملو, شورای ملی, ارتش شوروی, ۷۴۹ هجری در عصر
100, محمدعلی فروغی محمدتقی بهار, سید محمد, ارتش سرخ, ۷۹۲ هجری
101, کریمخان زند, میدان سپه, جمهوری سوسیالیستی, در سال ۱۶۳۴ میلادی
102, علی‌اصغر حکمت, مجلس شورای ملی مجلس شورای ملی, حزب کمونیست, در سال ۱۶۵۱ میلادی
103, اشرف پهلوی, تالار ۲۵ شهریور, حزب رستاخیز حزب نهضت اسلامی تاجیکستان, در سال ۱۶۵۴
104, شعر بنی‌آدم اعضای یک پیکرند, سد سفیدرود, حزب کمونیست حزب کمونیست, در سال ۱۸۸۸ میلادی
105, عزالدین بن اثیر, لیون, حزب اسلامی گلبدین حکمتیار, در سده ۱۸ میلادی
106, ابن فوطی, ایستگاه قطار, ارتش روسیه, سده ۱۸ میلادی
